"id","value"
"Mohegan Sun Arena",8
"MGM Grand Garden Arena",24
"Mandalay Bay Events Center",9
"Hard Rock Hotel and Casino",14
"Cox Pavillion",8
"Cox Pavilion",9
"Boardwalk Hall",8
